#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
86,"FANTEZII","BEN",13,175,"","","FANTEZII",2023-09-01,02:36,69,66,30,0,29,10,10,-5,C♯/D♭ Major,4,2023-10-13,7GLrFmKqwAA8zDlxhweBKg,"sadboi club",3B,https://p.scdn.co/mp3-preview/611d882eb9aa9d132e6002ab2be24a3f4e4bc4f7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485186e28003f61db39d4d40ebe1
87,"Solo","Mario Fresh",0,180,"romanian pop","Pop","Solo",2019-03-20,02:42,63,84,40,0,68,0,10,-4,A#/B♭ Minor,4,2023-10-27,1P2PELc5VvHXeVfkp56OAZ,"Cat Music",3A,,https://i.scdn.co/image/ab67616d00004851a608c77da15a75d8a6807cc0
88,"ARTEMIS","DAWID",0,176,"","","ARTEMIS",2023-05-06,03:38,70,37,43,0,53,0,0,-14,A#/B♭ Minor,4,2023-10-29,2dVLrLtUXRAkowzUe9KSXV,"5999089 Records DK",3A,https://p.scdn.co/mp3-preview/2b80be030a9ba39a16f809f2a288f1cf64a23196?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517f6a1e85c3b7371a3afcc39e
89,"După apus","Iuliana Beregoi",32,120,"romanian pop","Pop","După apus",2022-03-08,03:19,65,78,31,0,61,0,10,-5,F Major,4,2023-10-31,2dAyRnQJSIyqVn8dML4jIq,"Global Records",7B,https://p.scdn.co/mp3-preview/a51753f9125014bf889906e301453c4969441990?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851222f498fc96051ebb578b399
90,"Strazile din Bucuresti","Florian Rus,MIRA",43,93,"romanian pop","Pop","Strazile din Bucuresti",2019-07-04,03:13,57,62,14,0,70,0,30,-7,F#/G♭ Major,3,2023-11-01,1tDk0Jot1RkxsPTPXaNM7k,"Roton",2B,https://p.scdn.co/mp3-preview/21ad3bdd2e29b4ab4fd24ccebda41a0916183cf0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bfe0daaff484aaba17937e07
91,"Солай да солай Қарағым","Рахымжан Жақайым",32,105,"kazakh pop","Pop","Солай да солай Қарағым",2020-09-02,02:48,72,87,4,24,97,0,30,-4,B Minor,4,2023-11-01,22PcEYLTE2ten6bNZ9xvoE,"RAHYMZHAN ZHAKAIYM PRODUCTION",10A,https://p.scdn.co/mp3-preview/667347856abb5645dcf01664ed7c6f7b3dbf6acb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511e5463fe4bbba2b0aa62a7ce
92,"Флешбеки","REQUITIR",29,122,"","","Флешбеки",2022-06-16,03:10,72,95,17,0,32,30,10,-6,E Major,4,2023-11-01,0k6tqmshJ642zZF5kmuasS,"REQUITIR MUSIC",12B,https://p.scdn.co/mp3-preview/756e15907bddfe332f1faa9d849b65da7c28b24c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517a65df04f230a453eeaaf7bf
93,"Go'mirchimi","Sevinch Ismoilova",36,130,"uzbek pop","Pop","Go'mirchimi",2022-08-22,03:30,82,77,4,0,84,0,30,-3,F Minor,4,2023-11-03,15cFYjKYsxRuoFL5RN8i97,"BeruniyNet",4A,https://p.scdn.co/mp3-preview/790abd42fed7ec412899d3ad68364d5b9a10d433?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485123a6fe3e7821c66c989be407
94,"Onasi","Uzmir,Mira",24,180,"uzbek pop, turkish post-punk","Pop","Sarig'im",2022-10-01,03:10,71,85,9,0,78,10,20,-4,C Major,4,2023-11-04,02dn2tYyUzVc3cvKF2feNs,"RizaNova",8B,https://p.scdn.co/mp3-preview/b19916bdc8bef76804ddbcaed269a8300f86752e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851742c267e0cdeaae0dd22c1a6
95,"Do'stim","Osman Navruzov",38,110,"uzbek pop","Pop","Yondi yurak",2021-12-25,03:31,72,84,6,0,76,0,30,-5,C♯/D♭ Major,4,2023-11-04,7zEfxsMrB5hZBa5ssEcet9,"NEVO Music",3B,https://p.scdn.co/mp3-preview/5e6b59d42cf3fdd5ebef0427490223aabf0d8a1c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e47040f0e11ee61fb59fe155
96,"Fara Glas","Rolla Sparks,Oana Radu",22,190,"","","Fara Glas",2014-10-06,03:30,61,87,22,0,81,20,0,-3,C♯/D♭ Minor,4,2023-11-06,1seClUh1wQkHpam4GVRRWw,"Cat Music",12A,https://p.scdn.co/mp3-preview/2a42d7c2d8e82427075f0a4a5eb9e5f334f94762?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517940ac5ad935067a377fc95c
97,"Ce-am făcut!","Magnat,Feoctist",35,180,"rap moldovenesc, ","","Samagon de casă",2023-03-28,02:56,70,66,33,0,68,20,0,-8,B Minor,4,2023-11-06,6ztxeSmRqxiSY6LXVKWqrt,"Magnat & Feoctist",10A,https://p.scdn.co/mp3-preview/003f12022883240292b7070c791551081dc7b5b3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b5d59884e60f676408cc4e3c
98,"Elegantă","Magnat,Feoctist",35,171,"rap moldovenesc, ","","Samagon de casă",2023-03-28,02:57,70,50,35,5,24,20,0,-10,A#/B♭ Minor,4,2023-11-06,5oNWXw7xP8y5rcWwgnNjtx,"Magnat & Feoctist",3A,https://p.scdn.co/mp3-preview/18e6f090fc7341fda3e9e024a556bcc6aab1bcf2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b5d59884e60f676408cc4e3c
99,"ultima vara","Mandra",20,78,"","","Rip Luv",2021-09-27,02:18,61,58,32,0,63,0,10,-10,C♯/D♭ Major,4,2023-11-07,21MXTUV4xeWv7ThNCNIuUf,"euphoria",3B,https://p.scdn.co/mp3-preview/6840132879838c458d54b53f68eee2ccea4e36ab?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517b12c4254eb2c074fb91165f
