#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
45,"MOMENT","BURLA",40,120,"ukrainian viral pop","Pop","MOMENT",2022-03-04,02:10,88,76,22,0,80,0,10,-8,A Minor,4,2023-07-20,2tkQLIS9QZzlW5yh0fKRBn,"Plan",8A,https://p.scdn.co/mp3-preview/55092a59d36d0402dd3d282addb1d6c5a11d0b36?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ece81de6c2ddf005e2e68597
46,"Adrenalin","DJ Shone,Fox,Vlada Matovic",20,100,"turbo folk, balkan trap","Hip Hop, Folk/Acoustic","Najveci Hitovi 2020 Vol. 1",2021-03-04,02:38,80,90,26,0,24,10,0,-4,G Major,4,2023-07-20,5Iqn7SSt4gIBnvSel9tMYJ,"IDJTunes",9B,https://p.scdn.co/mp3-preview/68e2f2cb276fe40cbeb0f06961dc844374566df4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485151430f4b03fd7c5100275285
47,"полум'я","дитя скорботи,CRUSHGLAD",22,127,"","","полум'я",2023-03-17,02:46,64,48,14,0,21,0,10,-9,F Major,4,2023-07-20,7B8VaNe4OT8Hui9lkpMGHa,"Plan",7B,https://p.scdn.co/mp3-preview/19d4266f7c963e0714b208203f65c04360b6c08b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e900703d838e23f21b13fdf1
48,"Я не проживу без тебе","Ната Лі,ЗАЛІСКО",35,126,"ukrainian pop","Pop","Я не проживу без тебе",2016-08-08,03:34,79,93,13,0,90,0,30,-7,C Minor,4,2023-07-21,7p9sgQHGqpWb3PqINhmBIe,"Gm Digital",5A,https://p.scdn.co/mp3-preview/8fd0baf83d06ac989751ff7e18cbe06fae77b9ba?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d87090f948b68a9a53420bc9
49,"Біла ніч","Voloshyn",35,140,"","","Біла ніч",2023-02-20,02:38,64,65,26,0,42,0,30,-6,E Minor,4,2023-07-21,3NfittgBN1KnP5kHUsJCzx,"Monopoly Music",9A,https://p.scdn.co/mp3-preview/5a10500883935a3b5afdf24de116fcb7f7cac283?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485144db6090297069bba5bef9ca
50,"Taspa - Sped Up","Dosekesh",43,92,"kazakh pop","Pop","Taspa (Sped Up)",2023-05-06,03:20,30,69,20,0,39,0,0,-7,G#/A♭ Major,4,2023-07-21,7AiVR5YHl72TAttrLxFTUj,"õzen",4B,https://p.scdn.co/mp3-preview/a2d1e3c4f94c4de7bcd61549e35e5e65c9a5043f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851817ea809aec10cbab91ce3ba
51,"Сен көріктісің","Amre",21,125,"kazakh pop","Pop","Сен көріктісің",2022-03-02,02:58,77,90,0,0,58,0,0,-5,G#/A♭ Major,4,2023-07-21,04o1zRBDNm4rJVqNrdFbmn,"Turan Media",4B,https://p.scdn.co/mp3-preview/318f1bb983869eb774f8de77cdd71043b2e6a10c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513956cf7bd05cf4d77aaf0c79
52,"Мільярд","ROMARO",28,90,"ukrainian pop","Pop","Мільярд",2022-11-18,02:00,60,71,12,0,80,0,0,-7,A Minor,4,2023-07-23,3IGVZTRP8L75eafPUrAGa5,"A-post",8A,https://p.scdn.co/mp3-preview/ae6e11f82c740b4975c15f3b35635d2c6cf2b836?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a7a74f33a23686165fc5cf8f
53,"Повітряна тривога в криму","Spiv Brativ",25,128,"ukrainian pop","Pop","Повітряна тривога",2022-09-13,01:55,63,51,45,0,49,10,20,-11,E Minor,4,2023-07-23,4K78ZJf24hvY3qogu6Cdfv,"Spiv Brativ",9A,https://p.scdn.co/mp3-preview/a5824007b01b64a2cdc697473b5e797e21299e5f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513c46dcb7dbc053bed5dfb553
54,"Флешбеки (Remix)","REQUITIR",18,130,"","","Флешбеки (Remix)",2022-11-10,02:22,47,87,17,1,34,0,10,-8,A Minor,4,2023-07-31,1mEai78hpQrJO9fvDX5TPj,"Nowell Music",8A,https://p.scdn.co/mp3-preview/db68215824be05ea9b3df2ced00424f1de5e8883?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514fedc9b8091ab0b5b688d8e7
