#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Melodia","Melinda Ademi",0,99,"albanian pop","Pop","Melodia",2021-11-06,02:50,57,74,28,0,42,10,10,-7,D#/E♭ Minor,4,2023-06-03,4kyD4246gRwjuQTV2lZC1D,"℗ & © AVD Digital & Melinda Ademi",2A,,https://i.scdn.co/image/ab67616d000048514a5d20db28e1e8e89be5aa4e
2,"A mke dasht","Melinda Ademi,Ledri Vula",53,113,"albanian pop, albanian hip hop, kosovan pop","Hip Hop, Pop","A mke dasht",2022-07-13,03:26,88,69,5,0,57,0,0,-6,D#/E♭ Minor,4,2023-06-03,5rEU32oi1QheLYBTXTVTDR,"Melinda Ademi",2A,https://p.scdn.co/mp3-preview/df77f65bb8a10f3932ef3d9d4e13ad3cc1fe4854?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512c3fd92cec2cf36629824734
3,"Monotonia","2Ton,Nego",43,96,"albanian hip hop, albanian pop","Hip Hop, Pop","Monotonia",2022-10-21,02:31,76,74,48,0,66,10,10,-5,E Major,4,2023-06-03,6MIC54EexRABzYduuqb4hB,"2Ton, by Yellowcake, Inc.",12B,https://p.scdn.co/mp3-preview/ed865ffa46909e62ef133c1ccb56feece0290035?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515dbdf87df179ce20a6cec0ff
4,"KARMA","Nego",35,91,"albanian pop","Pop","KARMA",2020-12-19,02:59,53,93,14,0,88,10,10,-5,G#/A♭ Minor,4,2023-06-03,4lSj5aP1q3o0Rj6WDLogkm,"Naser Ademi",1A,https://p.scdn.co/mp3-preview/987e13bf3e130626e2ac03c7ab6798114374c310?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516c300d046efecee754457efd
5,"Toata noaptea - Speed Up Version","Juno,MIRA",13,105,"romanian pop, romanian trap","Pop, Hip Hop","Toata noaptea (Speed Up Version)",2022-10-05,02:33,69,80,27,0,66,10,10,-8,C♯/D♭ Major,4,2023-06-03,1oC66EklXMiASkqHwXBsQU,"HaHaHa Production",3B,https://p.scdn.co/mp3-preview/732adb0fffb9f2733afe5e214d733664d2f32afb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511e06a83aacf197f3cabdc6f3
6,"Sufletul meu","Juno",34,101,"romanian pop, romanian trap","Pop, Hip Hop","Sufletul meu",2023-03-10,03:05,70,84,55,0,86,0,10,-5,F Minor,4,2023-06-03,0bhpaxhfztmku8l54fTPjc,"HaHaHa Production | Cat Music",4A,https://p.scdn.co/mp3-preview/1ff7cbae4778e7565c250572418f7a22f85d8235?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c8488d44a21d9ea99d39fea4
7,"Răsărit perfect","Olivia Addams",52,122,"romanian pop","Pop","Răsărit perfect",2022-05-13,03:13,74,68,23,0,50,0,30,-6,D Minor,4,2023-06-04,5KgKG8kXtuGrAdMogyAXso,"Global Records & Creator Records",7A,https://p.scdn.co/mp3-preview/63cf90e2246c1c44e9e35d40a3f6422e4a72e1a4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851acbaa4aa0f53fb04409c9854
8,"Mi-E Dor De Noi","DJ Project,Giulia",41,128,"romanian house, romanian pop, classic romanian pop","Pop","Mi-E Dor De Noi",2011-06-14,04:07,64,92,0,0,78,0,40,-6,F#/G♭ Minor,4,2023-06-04,3bjPjviqPv3Z4iGL6prwH4,"2011 Cat Music",11A,https://p.scdn.co/mp3-preview/523c3d789a87088d3a2d83e599bc985ca98e0997?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851840db8b19c90405c6a44e1e5
9,"Numai tu! (cu DJ PROJECT)","Annais,DJ Project",39,114,"romanian house, romanian pop","Pop","Numai tu! (cu DJ PROJECT)",2023-03-21,03:05,62,68,13,0,46,0,30,-7,C Major,4,2023-07-03,0gLguMbRrQIOO7JxkUx8w7,"Global Records",8B,https://p.scdn.co/mp3-preview/0d8786f4d704ab833b99f00bf998db28ff88561b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f098c94408590fce9e449e81
10,"NKBİ X YAPAMAM - Remix","Lvbel C5,Güneş",80,100,"turkce drill, turkish trap, turkce kadin rap","Dance/Electronic","NKBİ X YAPAMAM (Remix)",2022-12-30,03:02,56,67,1,0,28,0,0,-7,D Minor,4,2023-06-27,4ist5GP5r7UDz9gdsiJmYd,"Lais Records & ℗ Universal Music Turkey; ℗ 2022 EMI - Kent Elektronik Sanayi ve Ticaret A.S. & M.O.B Entertainment",7A,https://p.scdn.co/mp3-preview/0231771b7ead910245f12d8376c537bcb4f30d8e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512dcbe9dbfb79dd287c351842
